apartmentRent; apartmentBuy; houseRent;houseBuy;livingRentSite;livingBuySite;garageRent;garageBuy;office;store;gastronomy;industry;tradeSite;specialPurpose;investment;FlatShareRoom;houseType;compulsoryAuction;assistedLiving;seniorCare;shortTermAccomodation
externalId; externalId; externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId;externalId
title; title; title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title;title
street; street; street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street;street
houseNumber; houseNumber; houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber;houseNumber
postcode; postcode; postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode;postcode
city; city; city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city;city
searchField1, 2, 3; searchField1, 2, 3; searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, 2, 3;searchField1, searchField2, searchField3;showAddress;showAddress;searchField1, searchField2, searchField3;searchField1, searchField2, searchField3;searchField1, searchField2, searchField3;searchField1
groupNumber; groupNumber; groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;groupNumber;roomSize;roomSize;groupNumber;groupNumber;groupNumber;searchField2
descriptionNote; descriptionNote; descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;descriptionNote;Bodenbelag;Bodenbelag;descriptionNote;descriptionNote;descriptionNote;searchField3
furnishingNote; furnishingNote; furnishingNote;furnishingNote;;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;furnishingNote;numberOfRooms;numberOfRooms;furnishingNote;furnishingNote;furnishingNote;groupNumber
locationNote; locationNote; locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;locationNote;apartmentType;apartmentType;locationNote;locationNote;locationNote;descriptionNote
otherNote; otherNote; otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;otherNote;cellar;cellar;otherNote;otherNote;otherNote;furnishingNote
showAddress; showAddress; showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;showAddress;heatingType;heatingType;showAddress;showAddress;showAddress;locationNote
contact id; contact id; contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contact id;contactId;heatingTypeEnev2014;heatingTypeEnev2014;contact id;contact id;contact id;otherNote
apartmentType; apartmentType; ;lodgerFlat;;;;value;value;value;value;industryType;commercializationType;specialPurposePropertyType;value;barrierFree;barrierFree;marketValue;shortDescription;shortDescription;showAddress
floor; floor; ;constructionPhase;;;;currency;currency;currency;currency;plotArea;recommendedUseTypes;plotArea;currency;courtage;courtage;lowestBid;petsAllowed;petsAllowed;contact id
lift; lift; ;buildingType;;;buildingType;usableFloorSpace;usableFloorSpace;usableFloorSpace;usableFloorSpace;hallHeight;utilizationTradeSite;listed;industrialArea;energyCertificate;energyCertificate;recurrenceAppointment;constructionYear;trialLivingPossible;baseRent
cellar; cellar; cellar;cellar;;;cellar;hasCourtage;hasCourtage;hasCourtage;hasCourtage;flooringType;tenancy;lift;plotArea;energySourcesEnev2014;energySourcesEnev2014;dateOfAuction;constructionYearUnknown;careTypes;cellar
handicappedAccessible; handicappedAccessible; handicappedAccessible;handicappedAccessible;handicappedAccessible;handicappedAccessible;handicappedAccessible;courtage;courtage;courtage;courtage;ramp;value;basement;netFloorSpace;buildingEnergyRatingType;buildingEnergyRatingType;lastChangeDate;trialLivingPossible;careLevel;condition
numberOfParkingSpaces; numberOfParkingSpaces; numberOfParkingSpaces;numberOfParkingSpaces;numberOfParkingSpaces;numberOfParkingSpaces;numberOfParkingSpaces;courtageNote;courtageNote;courtageNote;courtageNote;lift;currency;flooringType;investmentType;thermalCharacteristic;thermalCharacteristic;cancellationDate;marketingType;price;constructionYear
